Jugador;Minutos;Puntos;Triples;Rebotes;Asistencias;Perdidas;Robos;Tapones
Ayo Dosunmu;2097.6;687;59;220;206;99;62;26
Collin Sexton;1145.2;685;48;105;138;85;27;6
Caleb Martin;2077.7;683;84;344;117;79;71;31
Walker Kessler;1703.2;679;1;620;69;58;26;173
Donte DiVincenzo;1894.4;678;150;325;252;112;97;10
Malaki Branham;1549.6;673;77;181;127;76;33;7
Royce O'Neale;2409.2;671;163;384;283;114;65;49
Cedi Osman;1548.3;669;116;176;115;52;35;11
Jonathan Kuminga;1394.4;666;54;231;125;95;41;31
Bones Hyland;1085.5;659;117;135;172;82;39;15
Doug McDermott;1314.2;654;123;138;91;58;13;6
Josh Richardson;1529.6;654;107;175;174;86;69;20
Lonnie Walker IV;1297;654;91;109;64;46;30;17
Alec Burks;1122.4;652;99;158;114;58;38;8
Jevon Carter;1811.8;651;142;202;197;78;66;29
Cameron Johnson;1199.8;650;103;185;78;37;50;14
T.J. McConnell;1526.4;650;26;234;397;143;81;10
Herbert Jones;1950.5;649;56;269;162;88;103;42
Keita Bates-Diop;1452.6;647;56;247;103;56;46;20
Kyle Anderson;1956.6;647;43;368;335;103;78;63
Jalen Smith;1278.8;642;54;394;66;72;21;60
Gabe Vincent;1758.7;641;117;145;167;92;62;5
Grant Williams;2044.8;641;115;363;131;82;41;31
AJ Griffin;1401.4;639;101;153;73;42;42;12
Georges Niang;1511.8;637;154;185;77;54;31;14
Shake Milton;1567.4;637;56;191;240;94;25;13
Monte Morris;1696.1;636;78;210;326;60;43;13
Bol Bol;1505.4;634;30;405;69;112;30;85
Andrew Wiggins;1190.3;633;89;186;85;48;45;28
Jarred Vanderbilt;1879.7;619;29;582;184;97;83;21
Draymond Green;2297.6;617;40;525;500;204;74;61
Al Horford;1921.4;616;145;390;189;37;30;61
Kyle Lowry;1717.7;615;107;225;281;103;57;21
Jeremy Sochan;1457.7;614;33;295;142;97;43;23
Jalen Duren;1670.1;612;0;595;75;92;44;59
Cam Thomas;947.6;604;51;95;78;63;20;7
Damion Lee;1506.3;604;110;225;99;78;30;7
Karl-Anthony Towns;957;602;60;236;140;86;20;17
Moritz Wagner;1109.5;600;51;259;84;68;37;13
Torrey Craig;1947.8;588;100;426;117;73;50;62
Thomas Bryant;1081.5;579;26;339;31;38;16;30
Kevon Looney;1957.6;578;0;760;207;45;52;50
Isaiah Stewart;1414.1;567;67;403;70;68;20;34
Joe Harris;1527.2;562;142;164;101;41;34;13
